Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,lat,long,geometry,reported_date
Information / Armed Robbery,"5401 S. University, Chicago, IL",10/14/23 8:35 PM,10/14/232 7:45 PM,"Five unknown suspects, armed with handguns, took property from three victims walking on the sidewalk off-campus / CPD case",CPD,2023-036422,41.79791617133321,-87.59806769585981,,2023-10-14
Information / Armed Robbery,"5631 S. Kenwood, Chicago, IL",10/14/23 9:44 PM,10/14/23 9:25 PM,"Five unknown suspects, armed with handguns, took property from a victim walking on the sidewalk off-campus / CPD case",CPD,2023-036429,41.7929545060249,-87.59317504122868,,2023-10-14
Information / Armed Robbery,"1121 E. 54th Pl., Chicago, IL",10/14/23 10:03 PM,10/14/23 9:55 PM,"Two unknown suspects, armed with handguns took property from two victims walking on the sidewalk off-campus / CPD case",CPD,2023-036433,41.79646586292387,-87.59783486713002,,2023-10-14
Battery,"1105 E. 55th St., Chicago, IL",10/14/23 10:54 PM,10/14/23 10:45 PM,A person standing on the sidewalk was struck on the leg by a paint ball fired from a passing vehicle / Victim declined medical assistance,Open,23-00999,41.79497578112438,-87.59950810794481,,2023-10-14
Battery,"5700 S. Woodlawn, Chicago, IL",10/14/23 11:27 PM,10/14/23 10:45 PM,A person walking on the street was struck on the wrist with a paintball fired from a passing vehicle / Victim declined medical assistance,Open,23-01000,41.791388304001714,-87.59653346568075,,2023-10-14
Information / Theft from Motor Vehicle,"5328 S. Ingleside, Chicago, IL",10/15/23 7:51 AM,10/14/23 to 10/15/23 6:40 PM to 7:10 AM,Catalytic converter taken from car parked on the street off-campus / Referred to CPD,Referred,2023-036473,41.79894705411289,-87.60289106831044,,2023-10-15
Battery,"6101 S. University, Chicago, IL",10/15/23 4:42 PM,10/15/23 4:40 PM,Two unknown suspects exited a vehicle and fired paint ball pellets at a person walking on the sidewalk / Victim declined medical assistance,Open,23-01002,41.78409191637894,-87.59782954553583,,2023-10-15
Information / Theft from Person,"5344 S. Hyde Park, Chicago, IL",10/15/23 4:08 PM,10/15/23 4:00 PM,An unknown suspect snatched a cell phone from the hand of a victim walking on the sidewalk off-campus / The suspect fled to a waiting vehicle that drove off / Referred to CPD,Referred,2023-036498,41.79894953690376,-87.58411513684075,,2023-10-15
Information / Armed Robbery,"5436 S. University, Chicago, IL",10/15/23 8:03 PM,10/15/23 8:00 PM,"Two unknown subjects, armed with handguns, took property from two victims walking on the sidewalk off campus / Suspects fled to a waiting gray Kia / CPD case",CPD,2023-036520,41.797423814785134,-87.59820889553674,,2023-10-15
Information / Motor Vehicle Theft,"6117 S. University, Chicago, IL",10/16/23 4:37 PM,10/14/23 to 10/16/23 8:00 PM to 4:35 PM,2019 Jeep parked and secured on the street off-campus was taken by unknown person(s) / Referred to CPD,Referred,2023-036633,41.78381235211543,-87.59782272692377,,2023-10-16
Information / Aggravated Battery,"850 E. 63rd St., Chicago, IL",10/17/23 10:09 AM,10/17/23 10:05 AM,An unknown suspect slashed victim's ear with a knife and fled the station / CPD case JG466932,CPD,2023-036721,41.78049084255633,-87.60423327053616,,2023-10-17
Information / Theft,"1554 E. 55th St., Chicago, IL",10/17/23 11:48 AM,10/17/23 11:45 AM,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-036737,41.7952934540188,-87.588744563006,,2023-10-17
Theft,"1154 E. 55th St., Chicago, IL",10/17/23 1:06 PM,10/17/23 1:00 PM,A person took merchandise from the store without paying / UCPD officer located and detained the suspect / Merchandise returned / Manager declined to prosecute,Ex. Cleared,23-01008,41.79511284537927,-87.59780877784374,,2023-10-17
Information / Aggravated Assault,"1518 E. 53rd St., Chicago, IL",10/17/23 2:41 PM,10/17/23 2:35 PM,A City parking enforcement employee was threatened by an unknown subject for writing a ticket / Suspect fled but was later located after a brief chase and arrested by CPD / Handgun recovered / CPD case JG467304,CPD,2023-036751,41.79960733126353,-87.58855032928403,,2023-10-17
Battery,"1554 E. 55th St., Chicago, IL",10/17/23 5:21 PM,10/17/23 5:21 PM,Subject struck a person inside of the store without provocation / Victim declined prosecution due to suspect's mental state / Suspect transported to UCMED for evaluation,Ex. Cleared,23-01011,41.7952934540188,-87.588744563006,,2023-10-17
Battery,"5656 S. Maryland, Chicago, IL",10/17/23 6:00 PM,10/17/23 6:15 PM,"Suspect in above incident kicked a UCM staff member while awaiting evaluation / Due to suspect's mental state, the victim declined prosecution",Ex. Cleared,23-01012,41.7921342041933,-87.60503296834287,,2023-10-17
Armed Robbery,"1314 E. 58th St., Chicago, IL",10/17/23 10:36 PM,10/17/23 10:15 PM,"Two people walking on the sidewalk were confronted by two unknown suspects, one armed with a knife. The suspects demanded and took property from the victims before entering a Kia Sportage and fleeing",Open,23-01013,41.78970445528205,-87.5942065113262,,2023-10-17
Information / Theft,"1228 E. 54th St., Chicago, IL",10/18/23 9:13 AM,10/17/23 9:40 PM,Delayed report - A person reported that a subject took cash from his wallet on the street off-campus / No force or threats made / Referred to CPD,Referred,2023-036868,41.79805645392673,-87.5956535394954,,2023-10-18
Information / Battery,"1174 E. 55th St., Chicago, IL",10/18/23 3:53 PM,10/12/23 10:00 PM,Delayed report - A person reported that unknown subjects fired paintballs from a passing vehicle striking him on the arm / No injuries reported / Referred to CPD,Referred,2023-036919,41.79511856384761,-87.5970483970591,,2023-10-18
Information / Theft,"1554 E. 55th St., Chicago, IL",10/18/23 4:16 PM,10/18/23 4:15 PM,Unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-036921,41.7952934540188,-87.588744563006,,2023-10-18
Theft,"1155 E. 57th St., Chicago, IL",10/18/23 4:55 PM,10/11/23 2:30 PM,Theft of club property documented / Subsequent to follow-up investigation no crime occurred,Unfounded,23-01016,41.79137186379967,-87.59784005190477,,2023-10-18
Information / Theft,"1346 E. 53rd St., Chicago, IL",10/19/23 2:48 PM,10/19/23 2:40 PM,A person took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-037073,41.79955044222373,-87.59306282398296,,2023-10-19
Information / Theft,"1346 E. 53rd St., Chicago, IL",10/19/23 4:38 PM,10/19/23 2:45 PM,A person took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-037088,41.79955044222373,-87.59306282398296,,2023-10-19
Information / Robbery,"1606 E. Hyde Park, Chicago, IL",10/19/23 7:23 PM,10/19/23 6:05 PM,"Victim standing at off-campus bus stop / Two unknown suspects pushed victim, took cell phone and ran to a waiting vehicle / CPD case",CPD,2023-037112,41.80255350197075,-87.5863048754477,,2023-10-19
Theft,"1025 E. 58th St., Chicago, IL",10/19/23 7:47 PM,10/19/23 5:00 PM to 7:30 PM,Secured bicycle taken from bike rack,Open,23-01020,41.78953586418294,-87.59906074328484,,2023-10-19
Information / Armed Robbery,"5430 S. Kenwood, Chicago, IL",10/19/23 8:27 PM,10/19/23 8:20 PM,Four people walking on the sidewalk off-campus were approached by five unknown suspects who exited a dark sedan / One suspect was armed with a handgun / Suspects took victims' property before fleeing back to the car / CPD case JG470643,CPD,2023-037117,41.79713500717372,-87.59354286101257,,2023-10-19
Information / Armed Robbery,"5404 S. Kimbark, Chicago, IL",10/19/23 11:18 PM,10/19/23 11:15 PM,Two people walking on the sidewalk off-campus confronted by four suspects armed with handguns who took property from the victims before fleeing to a waiting dark sedan / CPD case,CPD,2023-037134,41.79784603876272,-87.59506588222536,,2023-10-19
Information / Armed Robbery,"5200 S. Drexel, Chicago, IL",10/19/23 11:40 PM,10/19/23 11:20 PM,Two people walking on the sidewalk off-campus confronted by five suspects armed with handguns who took property from the victims before fleeing to a waiting dark sedan / CPD case,CPD,2023-037137,41.800416014804455,-87.60401346961851,,2023-10-19
Information / Theft,"4941 S. Kimbark, Chicago, IL",10/20/23 2:55 PM,10/20/23 2:20 PM,Two unknown suspects took construction tools from a work van / Referred to CPD,Referred,2023-037226,41.805265996299454,-87.59506847924075,,2023-10-20
Information / Theft,"1554 E. 55th St., Chicago, IL",10/20/23 3:36 PM,10/20/23 2:00 PM,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-037230,41.7952934540188,-87.588744563006,,2023-10-20
Information / Armed Robbery,"5100 S. Drexel, Chicago, IL",10/22/23 12:41 AM,10/22/23 12:30 AM,Two people walking on the sidewalk off-campus were confronted by two unknown suspects armed with handguns / Suspects took property and fled in a waiting van / CPD report,CPD,2023-037395,41.80158342072997,-87.6040464619274,,2023-10-22
Information / Battery,"5514 S. Blackstone, Chicago, IL",10/22/23 12:55 AM,10/22/23 12:50 AM,"While walking with a group of people off-campus, two people were struck by paintballs fired from a passing vehicle / Medical attention declined / CPD case",CPD,2023-037398,41.7945446883931,-87.59039905133164,,2023-10-22
Information / Theft,"4801 S. Woodlawn, Chicago, IL",10/23/23 9:08 AM,10/23/23 8:45 AM to 8:55 AM,Unknown person(s) took tools from an unattended work van parked off-campus / Referred to CPD,Referred,2023-037565,41.80777091185638,-87.59672251511995,,2023-10-23
Information / Theft,"1554 E. 55th St., Chicago, IL",10/23/23 1:59 PM,10/23/23 1:59 PM,Two unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-037605,41.7952934540188,-87.588744563006,,2023-10-23
Theft,"5751 S. Woodlawn, Chicago, IL",10/23/23 2:59 PM,10/23/23 1:00 PM to 2:55 PM,"Unattended, unsecured skateboard taken",Open,23-01027,41.79066420506126,-87.59636264506929,,2023-10-23
Theft,"5730 S. Ellis, Chicago, IL",10/23/23 5:05 PM,10/23/23 12:00 PM to 5:00 PM,Secured electric scooter taken from bike rack,Open,23-01028,41.79080003328852,-87.60136349415598,,2023-10-23
Domestic Battery,"5730 S. Drexel, Chicago, IL",10/24/23 9:54 AM,10/24/23 9:30 AM,Ex-boyfriend and girlfriend involved in domestic argument that became physical / Prosecution declined,Ex. Cleared,23-01031,41.791238431653255,-87.6038150595067,,2023-10-24
Domestic Battery,"6000 S. Kimbark, Chicago, IL",10/24/23 10:08 PM,10/24/23 9:50 PM,"As a result of a domestic argument, boyfriend battered girlfriend / Victim declined prosecution",Ex. Cleared,23-01034,41.78600697628906,-87.59478840076997,,2023-10-24
Battery,"1100 E. 57th St., Chicago, IL",10/26/23 8:46 AM,10/26/23 8:46 AM,Three individuals were involved in a physical altercation / Incident involved mutual combatants and no charges were filed,Closed,23-01038,41.79148537051799,-87.59815254349274,,2023-10-26
Information / Theft from Person,"1600 E. 55th St., Chicago, IL",10/26/23 8:49 PM,10/26/23 8:45 PM,Unknown suspect snatched cell phone from the hand of a person standing on the sidewalk off-campus / Referred to CPD,Referred,2023-038129,41.79525006508027,-87.58654714268039,,2023-10-26
Information / Theft from Motor Vehicle,"5436 S. Kimbark, Chicago, IL",10/27/23 4:19 AM,10/27/23 4:15 AM,Three unknown suspects took catalytic converter from a vehicle parked off-campus / Referred to CPD,Referred,2023-038185,41.79691652309919,-87.59504403931157,,2023-10-27
Information / Theft,"1554 E. 55th St., Chicago, IL",10/27/23 2:12 PM,10/27/23 2:10 PM,Unknown person took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-038262,41.7952934540188,-87.588744563006,,2023-10-27
Theft,"6031 S. Ellis, Chicago, IL",10/27/23 2:21 PM,10/12/23 11:20 AM,Parcel delivered to loading dock was taken by unknown person,Open,23-01042,41.78535247451697,-87.60110174010714,,2023-10-27
Information / Theft from Person,"5035 S. East End, Chicago, IL",10/27/23 5:23 PM,10/25/23 5:30 PM,Delayed Report - Person reported an unknown person snatched a cell phone from their hand two days previously while off-campus / Reported to CPD,CPD,2023-038288,41.80312246813827,-87.58534952839977,,2023-10-27
Theft,"5758 S. Maryland, Chicago, IL",10/28/23 6:26 PM,10/19/23 9:35 AM to 1:00 PM,"Cash taken from an unattended, unsecured wallet",Open,23-01051,41.79005687751072,-87.6050118634646,,2023-10-28
Information / Theft from Person,"1526 E. 53rd St., Chicago, IL",10/28/23 6:23 PM,10/28/23 6:05 PM,Unknown suspect snatched a cell phone from the hand of a person standing on the sidewalk off-campus and fled on foot / Referred to CPD,Referred,2023-038412,41.79961059734836,-87.58834293219098,,2023-10-28
Information / Theft,"5505 S. Harper, Chicago, IL",10/31/23 5:39 PM,10/31/23 3:30 PM to 5:30 PM,Scooter secured to a light pole off-campus was taken by unknown person(s) / Referred to CPD,Referred,2023-038843,41.79498015110539,-87.58835906484632,,2023-10-31
Information / Battery,"5200 S. Lake Park, Chicago, IL",10/31/23 9:23 PM,10/31/23 9:20 PM,Two individuals walking on the sidewalk off-campus were struck by a group of teens / Both victims declined medical attention / Referred to CPD,Referred,2023-038885,41.80096768529279,-87.58756060999337,,2023-10-31
Information / Theft,"1554 E. 55th St., Chicago, IL",11/1/23 1:42 PM,11/1/23 1:35 PM,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-038977,41.7952934540188,-87.588744563006,,2023-11-01
Theft,"1156 E. 61st St., Chicago, IL",11/1/23 1:50 PM,10/27/23 12:20 PM to 12:40 PM,Unsecured Divvy bicycle left at the entrance to the building was taken,Open,23-01062,41.78420790800237,-87.59744739983933,,2023-11-01
Information / Theft,"1554 E. 55th St., Chicago, IL",11/1/23 2:15 PM,11/1/23 2:10 PM,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-038981,41.7952934540188,-87.588744563006,,2023-11-01
Information / Robbery,"5421 S. Cornell, Chicago, IL",11/1/23 8:28 PM,11/1/23 8:25 PM,Three unknown suspects struck victim walking on the sidewalk off-campus and took a cell phone before fleeing on foot / Referred to CPD,Referred,2023-039023,41.79748546577224,-87.5853898041139,,2023-11-01
Theft,"5700 S. Maryland, Chicago, IL",11/2/23 10:40 PM,10/24/23 to 10/25/23 10:00 PM to 9:00 AM,Cell phone taken from patient's room,Open,23-01070,41.79039920081431,-87.6050172122317,,2023-11-02
Information / Battery,"5035 S. East End, Chicago, IL",11/3/23 9:34 PM,11/3/23 9:30 PM,Person walking in hallway of off-campus building was battered by three unknown suspects / Referred to CPD,Referred,2023-039294,41.80312246813827,-87.58534952839977,,2023-11-03
Theft,"5730 S. Drexel, Chicago, IL",11/4/23 11:14 AM,6/4/23 to 11/4/23 11:15 AM to 11:00 AM,"Unattended, unsecured bag containing personal items taken from room",Open,23-01076,41.791238431653255,-87.6038150595067,,2023-11-04
Information / Theft from Person,"1606 E. Hyde Park, Chicago, IL",11/4/23 3:47 PM,6/4/23 3:40 PM,An unknown suspect snatched a cell phone from the hand of a person standing at a bus stop off campus / Suspect fled to a waiting dark colored vehicle / Referred to CPD,Referred,2023-039379,41.80255350197075,-87.5863048754477,,2023-11-04
Theft from Motor Vehicle,"5630 S. University, Chicago, IL",11/4/23 4:02 PM,10/28/23 to 11/4/23 3:00 PM to 11:00 AM,Catalytic converter taken from vehicle parked on the street,Open,23-01077,41.7926673662534,-87.59818172549905,,2023-11-04
Information / Attempt Theft,"5300 S. Hyde Park, Chicago, IL",11/4/23 4:21 PM,11/4/23 3:30 PM,A person reported that an unknown subject attempted to take his cell phone but failed to do so / Suspect fled on foot / Referred to CPD,Referred,2023-039384,41.799560582249285,-87.58413187346667,,2023-11-04
Information / Robbery,"5345 S. Hyde Park, Chicago, IL",11/4/23 4:44 PM,11/4/23 3:50 PM,An unknown suspect pushed a victim standing at the bus stop and forcibly took the victim's cell phone before fleeing to a waiting vehicle / CPD case JG491531,CPD,2023-039386,41.79895171573634,-87.58396145053928,,2023-11-04
Information /  Armed Robbery,"1534 E. 59th St., Chicago, IL",11/4/23 10:36 PM,11/4/23 10:25 PM,Two unknown suspects armed with a handgun took property from a victim walking on the street off-campus / Referred to CPD,Referred,2023-039428,41.787942474363376,-87.58810235547111,,2023-11-04
Information / Theft from Motor Vehicle,"5600 S. Stony Island, Chicago, IL",11/5/23 11:21 AM,11/5/23  8:45 AM to 11:15 AM,Catalytic converter taken from car parked on the street off-campus / Referred to CPD,Referred,2023-039482,41.79332644638487,-87.58671868806886,,2023-11-05
Theft,"5020 S. Cornell, Chicago, IL",11/5/23 1:44 PM,11/5/23 1:00 PM to 1:20 PM,Wallet taken from purse that was hung over the back of a chair in the caf�,Open,23-10180,41.80410203351164,-87.5865531306531,,2023-11-05
Information / Theft from Person,"1528 E. 55th St., Chicago, IL",11/5/23 1:22 PM,11/5/23 12:00 PM,Unknown person picked victim's pocket and took wallet / Unauthorized attempt to use debit card reported / Referred to CPD,Referred,2023-039492,41.79545466958325,-87.5892732437689,,2023-11-05
Assault,"5721 S. Maryland, Chicago, IL",11/5/23 1:54 PM,11/5/23 1:54 PM,"Visitor made verbal threat to UCM staff member / Suspect was detained, but victim declined prosecution",Ex. Cleared,23-01081,41.79028249316275,-87.60486168542639,,2023-11-05
Theft,"5700 S. Maryland, Chicago, IL",11/5/23 3:27 PM,11/5/23 12:25 PM to 3:00 PM,"Purse taken from unsecured, unoccupied parked vehicle",Open,23-01082,41.79039920081431,-87.6050172122317,,2023-11-05
Information / Motor Vehicle Theft,"5308 S. Hyde Park, Chicago, IL",11/5/23 5:45 PM,11/5/23 5:00 PM to 5:20PM,Secured 2016 Maserati parked on the street off-campus was taken by unknown suspect(s) / CPD case JG492767,CPD,2023-039505,41.7994494509183,-87.584128505862,,2023-11-05
Domestic Battery,"5700 S. Maryland, Chicago, IL",11/7/23 3:46 PM,11/7/23 3:40 PM,Boyfriend and girlfriend involved in an argument that turned physical / Suspect fled before police were notified,Open,23-01089,41.79039920081431,-87.6050172122317,,2023-11-07
Theft,"6050 S. Woodlawn, Chicago, IL",11/8/23 4:37 PM,11/8/23 3:10 PM,Unknown subject took unsecured Divvy bike,Open,23-01091,41.784641902555,-87.59637622614196,,2023-11-08
Information / Motor Vehicle Theft,"6115 S. University, Chicago, IL",11/8/23 8:57 PM,11/7/23 to 11/8/23 1:00 PM to 8:00 AM,2002 Toyota Camry taken from the street off-campus / Referred to CPD,Referred,23-01095,41.78384729764849,-87.5978235792503,,2023-11-08
Theft,"5505 S. Ellis, Chicago, IL",11/9/23 4:03 PM,11/9/23 12:20 PM to 2:00 PM,Electric Scooter secured to bike rack was taken,Open,23-01098,41.79489169097832,-87.60128906330357,,2023-11-09
Theft,"5730 S. Ellis, Chicago, IL",11/9/23 4:15 PM,11/9/23 12:30 PM to 1:45 PM,Electric Scooter secured to bike rack was taken,Open,23-01099,41.79080003328852,-87.60136349415598,,2023-11-09
Motor Vehicle Theft,"5730 S. Drexel, Chicago, IL",11/10/23 4:47 AM,11/10/23 2:00 AM to 4:45 AM,A 2007 Hyundai Sonata was taken by unknown person(s) / It was later determined that the vehicle was taken by a relative without notice / No theft occurred,Unfounded,23-01101,41.791238431653255,-87.6038150595067,,2023-11-10
Information / Theft from Person,"5600 S. Stony Island, Chicago, IL",11/10/23 12:48 PM,11/10/23 12:45 PM,An unknown suspect snatched a phone from the hand of a person walking on the sidewalk off-campus and fled to a waiting vehicle / Referred to CPD,Referred,2023-040199,41.79332644638487,-87.58671868806886,,2023-11-10
Information / Attempted Armed Robbery,"5400 S. Ridgewood Ct., Chicago, IL",11/12/23 12:13 PM,11/11/23 6:45 PM,"Delayed Report - Two unknown suspects, one armed with a handgun, attempted to take property from a person walking on the sidewalk off-campus / Suspects did not take property and fled to a waiting vehicle / Referred to CPD",Referred,2023-040420,41.79797666651399,-87.59269098628005,,2023-11-12
Information / Theft,"1554 E. 55th St., Chicago, IL",11/13/23 5:58 AM,11/13/23 5:55 AM,Two unknown suspects took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-040506,41.7952934540188,-87.588744563006,,2023-11-13
Information / Theft,"1000 E. 53rd St., Chicago, IL",11/14/23 10:25 AM,11/14/23 10:00 AM,Two unknown suspects were observed taking mail from off-campus building mail boxes / Referred to CPD,Referred,2023-040734,41.79946045399441,-87.60122840924629,,2023-11-14
Information / Theft,"6100 S. Blackstone, Chicago, IL",11/14/23 1:31 PM,11/14/23 12:30 PM to 1:30 PM,Unknown person(s) smashed window of vehicle parked off-campus and took tools / Referred to CPD,Referred,2023-040753,41.78388198511652,-87.59037351008953,,2023-11-14
Information / Theft,"4801 S. Woodlawn, Chicago, IL",11/14/23 2:12 PM,11/14/23 1:50 PM,Unknown subject damaged door of victim's work vehicle parked on the street off-campus and took tools / Referred to CPD,Referred,2023-040761,41.80777091185638,-87.59672251511995,,2023-11-14
Theft,"5751 S. Woodlawn, Chicago, IL",11/14/23 3:53 PM,11/14/23 3:00 PM to 3:50 PM,"Unattended, unsecured bookbag placed under table was taken by unknown person",Open,23-01115,41.79066420506126,-87.59636264506929,,2023-11-14
Criminal Sexual Assault,"1156 E. 61st St., Chicago, IL",11/15/23 11:23 AM,11/3/2023  time not specified,"DSS was notified by a Campus Security Authority that an undisclosed victim reported she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",No Investigation Referred to Title IX Coordinator,CSA Report    23-020,41.78420790800237,-87.59744739983933,,2023-11-15
Information / Theft,"1528 E. 55th St., Chicago, IL",11/15/23 9:01 PM,11/15/23 9:00 PM,"Unattended, unsecured Divvy bike taken / Referred to CPD",Referred,2023-040973,41.79545466958325,-87.5892732437689,,2023-11-15
Information / Aggravated Assault,"4547 S. Drexel, Chicago, IL",11/16/23 11:02 PM,11/16/23 10:45 PM,Unknown suspects fired shots in the direction of a person driving a vehicle off-campus / No injuries reported / Two unoccupied vehicles damaged by gunfire / CPD case JG507254,CPD,2023-041098,41.81234896057782,-87.60387773328415,,2023-11-16
Aggravated Robbery,"6001 S. Cottage Grove, Chicago, IL",11/17/23 6:42 AM,11/17/23 6:05 AM,"Two unknown suspects confronted victim on the sidewalk, pressed an object to his back and demanded the victim's wallet / Suspects took wallet and fled on foot",Open,23-01123,41.78529516424936,-87.60595888670235,,2023-11-17
Theft,"6090 S. Blackstone, Chicago, IL",11/17/23 3:24 PM,11/14/23 11:00 AM to 1:00 PM,"Window smashed in secured, unoccupied vehicle parked on the street / Power tools were taken",Open,23-01126,41.78392983624951,-87.590373945095,,2023-11-17
Armed Robbery,"1427 E. 60th St., Chicago, IL",11/17/23 5:57 PM,11/17/23 5:50 PM,"Two unknown suspects, one armed with a handgun, took property from a person before fleeing to a waiting vehicle",Open,23-01128,41.78604386434432,-87.59113719099213,,2023-11-17
Information / Theft from Person,"1500 E. 55th St., Chicago, IL",11/18/23 6:29 PM,11/18/23 6:20 PM,Unknown suspect snatched purse from a victim walking off-campus and fled to a waiting vehicle / Referred to CPD,Referred,2023-041316,41.7954853271209,-87.58931923006287,,2023-11-18
Motor Vehicle Theft,"5225 S. Cottage Grove, Chicago, IL",11/19/23 9:58 AM,11/19/23 6:55 AM,An unknown suspect took a 2001 Toyota 4-Runner parked on the street off-campus,Open,23-01133,41.79996205892854,-87.60626703033262,,2023-11-19
Information / Theft from Person,"1617 E. Hyde Park, Chicago, IL",11/19/23 4:47 PM,11/19/23 4:05 PM,Unknown suspect snatched phone from the hand of a person standing on the sidewalk off-campus / Referred to CPD,Referred,2023-041436,41.80243629457232,-87.58636056471141,,2023-11-19
Information / Theft,"1554 E. 55th St., Chicago, IL",11/20/23 10:27 AM,11/20/23 10:25 AM,Two unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-041543,41.7952934540188,-87.588744563006,,2023-11-20
Information / Theft,"6349 S. Cottage Grove, Chicago, IL",11/20/23 11:52 AM,11/20/23 10:30 AM to 11:15 AM,Electric scooter secured to a fence off-campus was taken by unknown person / Referred to CPD,Referred,2023-041550,41.779288339594416,-87.60582592636592,,2023-11-20
Information / Theft,"1554 E. 55th St., Chicago, IL",11/20/23 1:53 PM,11/20/23 1:05 PM,Suspect took merchandise from the off-campus store without paying / Suspect located and detained by UCPD officer / Management declined to prosecute,Closed,2023-041561,41.7952934540188,-87.588744563006,,2023-11-20
Domestic Battery,"5721 S. Maryland, Chicago, IL",11/21/23 4:37 PM,11/21/23 4:35 PM,One domestic partner struck the other / Suspect arrested by UCPD officers,Arrest,23-01140,41.79028249316275,-87.60486168542639,,2023-11-21
Battery,"5656 S. Maryland, Chicago, IL",10/15/23 1:51 AM,10/15/23 1:40 AM,A non-compliant patient struck a CFD EMT while being transferred into UCMED,Open,23-01141,41.7921342041933,-87.60503296834287,,2023-10-15
Theft,"1554 E. 55th St., Chicago, IL",11/22/23 1:49 PM,11/22/23 1:45 PM,Subject took merchandise from the off-campus store without paying / Suspect located and detained by UCPD officer / Merchandise returned / Management declined prosecution,Ex. Cleared,23-01145,41.7952934540188,-87.588744563006,,2023-11-22
Domestic Battery,"1101 E. Hyde Park, Chicago, IL",11/24/23 12:39 AM,11/24/23 12:35 AM,"During the course of a domestic argument, Boyfriend struck girlfriend / Suspect located and detained by UCPD / Victim declined prosecution",Ex. Cleared,23-01149,41.80227995914981,-87.59894966025661,,2023-11-24
Battery,"5656 S. Maryland, Chicago, IL",11/24/23 12:51 PM,11/24/23 8:50AM,A disruptive patient spit and bit two UCM staff members while being restrained / Victims declined prosecution,Ex. Cleared,23-01152,41.7921342041933,-87.60503296834287,,2023-11-24
Information / Theft,"1554 E. 55th St., Chicago, IL",11/24/23 3:26 PM,11/24/23 3:20 PM,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-042028,41.7952934540188,-87.588744563006,,2023-11-24
Information / Theft,"5487 S. Hyde Park, Chicago, IL",11/25/23 9:04 PM,11/21/23 to 11/25/23 10:00 AM to 9:00 PM,Unknown person(s) smashed window of vehicle parked on the street off-campus and took various items from the vehicle / Referred to CPD,Referred,2023-042170,41.79561004903866,-87.58388074361699,,2023-11-25
Information / Armed Robbery,"1165 E. 54th St., Chicago, IL",11/26/23 2:49 PM,11/26/23 2:35 PM,"Three unknown suspects, one armed with a handgun, exited vehicle, demanded and took property from two victims walking on the sidewalk off-campus / Suspects returned to vehicle and drove off",CPD,2023-042236,41.796474862890136,-87.59725491415497,,2023-11-26
Information / Armed Robbery,"5400 S. Kenwood, Chicago, IL",11/27/23 4:19 PM,11/27/23 12:20 PM,"Victim walking on the sidewalk off-campus was approached by two unknown suspects, one armed with a handgun / Suspects demanded and took cell phone before returning to a waiting grey Jeep / Referred to CPD",Referred,2023-042356,41.798034864244016,-87.59348703173322,,2023-11-27
Information / Theft,"1554 E. 55th St., Chicago, IL",11/28/23 1:33 PM,11/28/23 1:30 PM,An unknown suspect took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-042490,41.7952934540188,-87.588744563006,,2023-11-28
Information / Theft,"707 E. 37th St., Chicago, IL",11/28/23 3:49 PM,11/27/23 3:30 PM,Report documenting the behavior of a parent on school grounds after school,Closed,23-01164,41.82657985839535,-87.60946105839218,,2023-11-28
Theft,"5812 S. Ellis, Chicago, IL",11/28/23 5:00 PM,11/28/23 12:30 PM to 4:30 PM,Wallet taken by unknown person / Subsequent unauthorized use of credit card reported,Open,23-01166,41.78933846713261,-87.60133433918554,,2023-11-28
Information / Theft from Motor Vehicle,"5500 S. Shore Dr., Chicago, IL",11/28/23 9:34 PM,11/28/23 9:30 PM,Catalytic converter taken from 2010 Lexis parked on the street off-campus / Referred to CPD,Referred,2023-042548,41.79522287754912,-87.58052778134282,,2023-11-28
Battery,"1111 E. 60th St., Chicago, IL",11/29/23 10:53 AM,11/27/23 6:30 PM,Victim reported an acquaintance grabbed her buttocks while they were walking behind the law school,Open,23-01169,41.7858917476878,-87.59939528309383,,2023-11-29
Information / Theft,"1228 E. 53rd St., Chicago, IL",11/29/23 10:14 AM,11/29/23 10:00 AM,An unknown suspect took Divvy bike from a person in the off-campus parking lot and rode off / Referred to CPD,Referred,2023-042604,41.79951602876639,-87.59614963880938,,2023-11-29
Assault,"5656 S. Maryland, Chicago, IL",11/30/23 12:50 PM,11/30/23 12:50 PM,A visitor threatened a staff member with bodily harm and was arrested by UCPD officer,Arrest,23-01174,41.7921342041933,-87.60503296834287,,2023-11-30
